id,code,desc
1,"0xA0001","QEMU is not installed on your machine. Perhaps try adding it to your $PATH environment variable."
2,"0xA0002","QEMU IS installed on your machine, but its version is lower than 10.0.0. Upgrade to a newer release."
3,"0xA0010","proot is not available. The vendored build may have failed."
4,"0xA0020","No backend is available (neither proot nor QEMU)."
5,"0xA0030","Image pull failed (download error)."
6,"0xA0031","Image extract failed (tar error)."
7,"0xA0040","Instance creation failed."
8,"0xA0041","Instance run failed."
9,"0xA0042","Instance exec failed."
10,"0xA0050","Network setup failed."
11,"0xA0051","Network teardown failed."
12,"0xA0060","9p mount failed."
13,"0xA0061","QEMU boot failed."
